id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,location_x,location_y,team_id,player_id,shot_bodyPart_head_or_other,assist_type_long_pass,direct_free_kick,assist_type_through_pass,shot_distance,shot_angle,shot_xg
2351937355,5588950,1H,14,51,00:14:51.241,892.241047,76,53,3157,525236,0,0,0,0,34.66987164671943,24.96930795717714,0.04514
2351937616,5588950,1H,26,1,00:26:01.255,1562.255247,93,44,3157,405603,1,0,0,0,15.620499351813308,52.96071399469619,0.1972
2351937649,5588950,1H,27,20,00:27:20.234,1641.234929,95,69,3157,391530,0,0,0,0,36.40054944640259,8.233244960135059,0.1048
2351937010,5588950,1H,30,59,00:30:59.894,1860.894107,91,30,5072,569212,0,0,0,0,14.560219778561036,62.53272766139187,0.1286
2351937741,5588950,1H,32,42,00:32:42.358,1963.358636,92,30,3157,344132,0,0,0,0,13.601470508735444,66.03751102542181,0.07111
2351938408,5588950,1H,48,14,00:48:14.794,2895.794542,80,67,5072,660295,0,0,0,0,41.400483088968905,15.406419793668507,0.04568
2351937964,5588950,2H,47,5,00:47:05.684,3143.684568,86,38,3157,344132,0,0,0,0,19.4164878389476,49.1239075603156,0.005083
2351937979,5588950,2H,48,38,00:48:38.926,3236.926109,85,61,3157,391530,0,0,0,0,33.60059523282288,18.9581834051062,0.02028
2351937336,5588950,2H,50,41,00:50:41.052,3359.052922,86,58,5072,644877,0,0,0,0,30.610455730027933,21.778324967249148,0.1114
2351938034,5588950,2H,56,24,00:56:24.454,3702.454096,78,28,3157,344132,0,1,0,0,27.65863337187866,35.39479584498706,0.01783
2351938066,5588950,2H,60,11,01:00:11.621,3929.621712,87,47,3157,520698,0,0,0,0,22.20360331117452,38.181785428348135,0.1843
2351938132,5588950,2H,65,51,01:05:51.295,4269.295769,72,50,3157,525236,0,0,0,0,36.6742416417845,25.170554253818423,0.002041
2351937570,5588950,2H,67,15,01:07:15.885,4353.88519,95,70,5072,499720,0,1,0,1,37.36308338453881,7.794329120511425,0.019
2351938158,5588950,2H,70,59,01:10:59.082,4577.082042,86,45,3157,520698,0,0,0,0,21.95449840010015,40.459794756891306,0.1328
